,Country,CustomerID,Description,InvoiceDate,InvoiceNo,Quantity,StockCode,UnitPrice,_id
6030bf3e28c7f7039bb4b2e5,United Kingdom,17850.0,WHITE HANGING HEART T-LIGHT HOLDER,12/1/2010 8:26,536365.0,6.0,85123A,2.55,6030bf3e28c7f7039bb4b2e5
6030bf3e28c7f7039bb4b2e6,United Kingdom,17850.0,WHITE METAL LANTERN,12/1/2010 8:26,536365.0,6.0,71053,3.39,6030bf3e28c7f7039bb4b2e6
6030bf3e28c7f7039bb4b2e7,United Kingdom,17850.0,CREAM CUPID HEARTS COAT HANGER,12/1/2010 8:26,536365.0,8.0,84406B,2.75,6030bf3e28c7f7039bb4b2e7
6030bf3e28c7f7039bb4b2e8,United Kingdom,17850.0,KNITTED UNION FLAG HOT WATER BOTTLE,12/1/2010 8:26,536365.0,6.0,84029G,3.39,6030bf3e28c7f7039bb4b2e8
6030bf3e28c7f7039bb4b2e9,United Kingdom,17850.0,RED WOOLLY HOTTIE WHITE HEART.,12/1/2010 8:26,536365.0,6.0,84029E,3.39,6030bf3e28c7f7039bb4b2e9
6030bf3e28c7f7039bb4b2ea,United Kingdom,17850.0,SET 7 BABUSHKA NESTING BOXES,12/1/2010 8:26,536365.0,2.0,22752,7.65,6030bf3e28c7f7039bb4b2ea
6030bf3e28c7f7039bb4b2eb,United Kingdom,17850.0,GLASS STAR FROSTED T-LIGHT HOLDER,12/1/2010 8:26,536365.0,6.0,21730,4.25,6030bf3e28c7f7039bb4b2eb
6030bf3e28c7f7039bb4b2ec,United Kingdom,17850.0,HAND WARMER UNION JACK,12/1/2010 8:28,536366.0,6.0,22633,1.85,6030bf3e28c7f7039bb4b2ec
6030bf3e28c7f7039bb4b2ed,United Kingdom,17850.0,HAND WARMER RED POLKA DOT,12/1/2010 8:28,536366.0,6.0,22632,1.85,6030bf3e28c7f7039bb4b2ed
6030bf3e28c7f7039bb4b2ee,United Kingdom,13047.0,ASSORTED COLOUR BIRD ORNAMENT,12/1/2010 8:34,536367.0,32.0,84879,1.69,6030bf3e28c7f7039bb4b2ee
